Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,6/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Benin,BEN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,941.0716488,978.0410579,992.4465664,1036.023937,1041.32595,1089.854787,1122.000574,1171.559489,1196.354532,1242.716676,1305.034602,1361.728492,1400.049756,1428.792779,1483.357743,1507.891161,1565.55691,1651.808665,1714.280209,1716.207268,1723.796926,1761.574331,1829.728888,1940.416105,2045.971787,2056.700772,
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,545.7264573,598.7897672,597.554203,616.0273814,620.2610807,651.262764,716.1156031,753.110961,794.327675,841.5331905,852.3890672,903.3388294,930.0914004,993.5058329,1035.724288,1127.559147,1198.075128,1241.943039,1299.217851,1307.256177,1392.189049,1470.435184,1547.649372,1614.378644,1660.46464,1696.025601,
Bangladesh,BGD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,834.0482083,871.0798766,918.4548687,963.3034791,1000.283763,1050.6545,1094.567693,1138.934299,1185.987717,1235.147515,1304.442358,1375.759114,1424.312233,1495.529221,1591.404389,1724.427708,1871.000135,2031.778522,2171.629728,2273.164201,2401.71874,2579.335048,2764.781928,2942.373187,3138.242457,3339.589283,
Bulgaria,BGR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5187.776323,4956.59198,4751.653266,4831.082005,5040.681014,5316.620822,5624.807482,5684.708788,6007.198195,5751.461263,6370.557933,6954.18805,7766.236807,8379.256378,9177.379026,10275.0206,11377.80991,12897.90523,14395.63042,14133.06695,14962.93405,15676.12098,16208.32431,16646.78483,17406.09846,18248.77994,
Bahrain,BHR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,22694.40443,25381.54799,27003.10359,30449.58968,30259.59539,31274.43351,32232.23672,32781.47504,33588.47981,34300.76886,35503.03417,35715.01777,35995.44761,37073.10316,38411.80057,39449.62243,39896.16925,40648.96993,40514.04278,39025.53933,39105.31571,39311.32516,40669.7045,43053.41076,45310.95885,46586.0687,
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,15693.37862,15253.25583,14721.34013,14837.44668,15361.95338,16120.83741,16888.93198,17338.20097,18157.7265,19515.95658,20486.83736,21131.6689,21606.43716,21304.66135,21619.39465,22602.88621,23417.23436,23928.02132,23397.81577,22196.81949,22431.13764,22665.16756,23432.40085,23469.61666,23441.10216,23001.00715,
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,938.3752658,1190.901326,2332.647027,3214.88954,3760.183254,4174.83975,4494.598108,4706.5643,5070.586021,5295.303712,5774.640574,6365.866291,7270.559159,8018.746485,8822.598879,8793.374005,9042.106226,9523.106752,9691.695739,10202.76161,10472.71749,10851.71863,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5224.699919,5331.205325,4918.655385,4642.519116,4191.496264,3846.321048,4039.674256,4596.67258,5060.880441,5335.425417,5800.594599,6245.079773,6703.403419,7370.017294,8497.493761,9661.13942,11021.02607,12343.87508,13917.77867,14082.88639,15384.51415,16603.08807,17217.45557,17680.54485,18290.74286,17740.51373,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3340.435795,3742.601777,4218.143917,4513.055969,4523.377884,4528.802383,4530.436403,4600.51278,4642.549536,4940.086243,5519.883853,5750.343844,5968.63425,6484.045996,6796.580124,7013.425023,7365.87625,7449.361273,7641.928505,7569.619167,7727.454571,7867.204816,8126.321478,8184.073775,8485.555403,8483.516867,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26210.9109,26261.12594,27038.87672,28362.56613,28938.43927,30621.69158,31787.7791,33613.37247,35044.95134,36579.56343,40535.20826,43976.09251,43706.03474,45797.32036,47835.43923,49877.28411,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53097.69629,52436.05641,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2396.153348,2555.510532,2604.951787,2726.455008,2857.458866,2993.858987,3119.33242,3264.998214,3399.308557,3399.791207,3497.336516,3570.113727,3647.63158,3753.112061,3946.773387,4180.388249,4438.691785,4685.000005,4986.95884,5108.888916,5298.221351,5598.58149,5899.802219,6303.441473,6662.801466,6953.8271,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6639.800472,6849.596858,6862.530647,7240.193718,7669.73827,8050.215032,8248.985072,8541.155794,8529.819221,8568.486867,8987.187225,9182.220217,9468.475047,9630.144212,10324.93103,10860.52438,11502.27311,12389.59652,13140.86546,13094.13602,14114.59284,14836.38136,15256.60843,15823.60723,16045.22746,15473.69364,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8595.250561,8505.343474,8175.116076,8407.495592,8727.494874,9057.297347,9553.176833,10138.98726,10592.50256,10750.68935,11445.87943,11393.77559,11626.14687,12080.64709,12549.19371,13421.25141,14563.17481,15153.14854,15446.64117,14874.63239,15035.41769,15404.80135,15680.72729,15870.45765,16136.56476,16405.7626,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,55119.75194,57095.99549,59461.61267,59374.76304,60868.76337,63251.65024,64630.43511,63243.64886,62143.08863,63626.49201,65563.48819,67565.01973,69949.33316,72119.26581,73189.84201,74540.59908,78845.38854,79702.98067,78366.00571,76306.57774,77992.28783,81314.2691,82317.36157,80677.31411,79059.4889,78369.29102,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1507.862149,1554.096666,1683.413124,1788.995889,1945.527046,2136.988247,2281.496675,2405.159108,2514.284088,2681.770229,2850.815991,3064.827799,3344.159882,3564.723225,3770.094685,4060.201675,4365.935906,5172.726954,5418.202026,5717.165737,6354.393934,6882.688407,7251.433192,7417.444076,7875.800825,8369.82535,
